SEQ='NA'     NUCCHG=15                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  73568537.8  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  74085637.4 NLVL=   188
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     2    16  3  -1    9.433112E+00   2.456E+10   1.590E+10   1.842E+09   1.842E+09
     3    16  3  -1    9.424373E+00   3.622E+09
     2    17  3  -1    9.452461E+00   8.661E+09   1.731E+10   2.236E+10   2.236E+10
     3    17  3  -1    9.443723E+00   4.308E+09
     3    18  3  -1    9.453604E+00   2.837E+10   1.892E+10   5.931E+08   5.931E+08
     2    19  3  -1    9.473019E+00   1.103E+10   1.676E+10   2.140E+07   2.140E+07
     3    19  3  -1    9.464281E+00   1.122E+10
     2    20  3  -1    9.532375E+00   1.134E+10   2.326E+10   2.837E+11   2.837E+11
     3    20  3  -1    9.523636E+00   5.453E+09
     3    21  3  -1    9.723741E+00   1.355E+10   1.328E+10   6.860E+11   6.860E+11
     2    22  3  -1    9.769726E+00   1.848E+10   1.676E+10   3.387E+11   3.387E+11
     3    22  3  -1    9.760987E+00   2.961E+09
     2    23  3  -1    9.830317E+00   9.688E+08   1.710E+10   3.135E+11   3.135E+11
     3    23  3  -1    9.821578E+00   1.203E+10
     2    24  3  -1    9.841287E+00   7.569E+09   2.078E+10   9.736E+11   9.736E+11
     3    24  3  -1    9.832548E+00   4.175E+09
     1    25  3  -1    1.097668E+01   5.526E+09   8.102E+09   1.181E+13   1.181E+13
     4    25  3  -1    9.122370E+00   9.429E+08
     1    26  3  -1    1.099292E+01   8.289E+09   6.701E+09   8.868E+12   8.868E+12
     4    26  3  -1    9.138603E+00   3.599E+08
     5    26  3  -1    9.137787E+00   8.268E+08
     5    28  3  -1    9.171942E+00   2.167E+09   1.777E+09   4.893E+10   4.893E+10
     1    29  3  -1    1.103181E+01   1.267E+09   3.873E+09   1.932E+12   1.932E+12
     4    29  3  -1    9.177492E+00   7.671E+07
     5    29  3  -1    9.176676E+00   1.278E+08
     1    30  3  -1    1.104273E+01   1.630E+08   3.407E+09   5.729E+11   5.729E+11
     4    30  3  -1    9.188417E+00   3.239E+07
     2    31  3  -1    1.025175E+01   1.093E+10   3.483E+10   2.926E+14   2.926E+14
     3    31  3  -1    1.024301E+01   8.507E+09
     4    32  3  -1    9.212424E+00   2.008E+09   1.594E+09   3.061E+10   3.061E+10
     5    32  3  -1    9.211608E+00   8.989E+07
     5    33  3  -1    9.237902E+00   1.055E+07   3.861E+09   9.134E+06   9.134E+06
     4    34  3  -1    9.253772E+00   5.314E+07   3.710E+09   8.638E+08   8.638E+08
     4    35  3  -1    9.264557E+00   4.318E+07   3.114E+09   1.194E+09   1.194E+09
     5    35  3  -1    9.263741E+00   1.307E+07
     4    36  3  -1    9.281907E+00   3.451E+08   1.440E+09   1.590E+10   1.590E+10
     5    36  3  -1    9.281091E+00   8.730E+08
     1    37  3  -1    1.114687E+01   3.155E+08   2.138E+09   3.314E+11   3.314E+11
     4    37  3  -1    9.292552E+00   4.975E+08
     5    37  3  -1    9.291736E+00   2.032E+08
     1    38  3  -1    1.115241E+01   1.418E+08   3.989E+09   8.797E+11   8.797E+11
     4    38  3  -1    9.298096E+00   3.021E+07
     1    39  3  -1    1.119416E+01   4.498E+07   3.646E+09   3.539E+11   3.539E+11
     4    39  3  -1    9.339846E+00   3.434E+08
     5    40  3  -1    9.364637E+00   2.374E+08   3.636E+09   9.218E+07   9.218E+07
     1    41  3  -1    1.123059E+01   2.341E+07   3.608E+09   1.909E+11   1.909E+11
     4    41  3  -1    9.376278E+00   5.054E+06
     1    42  3  -1    1.123063E+01   2.111E+08   4.721E+09   9.285E+11   9.285E+11
     5    42  3  -1    9.375500E+00   5.729E+07
     1    43  3  -1    1.135643E+01   3.490E+08   6.349E+09   1.391E+10   1.391E+10
     4    43  3  -1    9.502119E+00   1.630E+07
     1    44  3  -1    1.136555E+01   1.985E+09   7.088E+09   3.806E+10   3.806E+10
     4    44  3  -1    9.511233E+00   1.072E+08
     5    44  3  -1    9.510417E+00   2.970E+07
     4    45  3  -1    9.528316E+00   5.177E+07   6.386E+09   8.581E+05   8.581E+05
     5    45  3  -1    9.527500E+00   4.364E+08
     5    47  3  -1    9.552297E+00   1.057E+09   6.767E+09   2.574E+08   2.574E+08
     1    48  3  -1    1.141677E+01   1.982E+10   1.365E+10   3.756E+12   3.756E+12
     4    48  3  -1    9.562460E+00   5.976E+07
     5    48  3  -1    9.561644E+00   3.414E+08
     4    49  3  -1    9.568623E+00   2.440E+09   7.882E+09   6.114E+08   6.114E+08
     5    49  3  -1    9.567807E+00   2.506E+08
     1    50  3  -1    1.143985E+01   1.263E+09   8.723E+09   1.852E+10   1.852E+10
     4    50  3  -1    9.585540E+00   1.995E+09
     5    50  3  -1    9.584724E+00   4.007E+07
     1    51  3  -1    1.145810E+01   6.543E+09   1.398E+10   2.052E+13   2.052E+13
     4    51  3  -1    9.603784E+00   1.880E+09
     5    52  3  -1    9.604651E+00   5.007E+09   9.824E+09   5.761E+08   5.761E+08
     4    53  3  -1    9.621070E+00   7.845E+09   1.445E+10   3.133E+09   3.133E+09
     5    53  3  -1    9.620254E+00   3.212E+09
     1    54  3  -1    1.147937E+01   3.170E+10   3.924E+10   2.686E+12   2.686E+12
     4    54  3  -1    9.625058E+00   7.950E+08
     1    55  3  -1    1.148762E+01   4.369E+10   3.037E+10   2.777E+11   2.777E+11
     4    55  3  -1    9.633310E+00   1.426E+07
     5    55  3  -1    9.632494E+00   1.685E+09
     4    56  3  -1    9.665685E+00   1.300E+10   1.691E+10   1.974E+09   1.974E+09
     5    56  3  -1    9.664869E+00   2.351E+09
     5    57  3  -1    9.687480E+00   1.978E+10   2.061E+10   5.399E+08   5.399E+08
     1    58  3  -1    1.154534E+01   4.565E+10   5.013E+10   5.071E+07   5.071E+07
     4    58  3  -1    9.691023E+00   1.171E+10
     5    58  3  -1    9.690207E+00   6.526E+09
     4    59  3  -1    9.707428E+00   6.418E+09   2.685E+10   6.949E+08   6.949E+08
     5    59  3  -1    9.706612E+00   1.654E+10
     1    60  3  -1    1.158755E+01   2.366E+11   1.519E+11   4.685E+12   4.685E+12
     4    60  3  -1    9.733233E+00   1.095E+10
     5    60  3  -1    9.732417E+00   1.234E+10
     1    61  3  -1    1.159816E+01   1.453E+11   1.771E+11   2.496E+12   2.496E+12
     4    61  3  -1    9.743850E+00   1.398E+10
     1    62  3  -1    1.165908E+01   3.240E+11   1.700E+11   1.682E+14   1.682E+14
     4    62  3  -1    9.804770E+00   8.254E+07
     5    62  3  -1    9.803954E+00   3.824E+08
     1    63  3  -1    1.166621E+01   1.525E+11   1.597E+11   1.471E+14   1.471E+14
     4    63  3  -1    9.811891E+00   1.129E+08
     5    64  3  -1    9.942219E+00   8.023E+09   1.643E+10   8.596E+12   8.596E+12
     4    65  3  -1    9.976148E+00   8.998E+09   2.120E+10   4.864E+12   4.864E+12
     5    65  3  -1    9.975332E+00   4.536E+09
     1    66  3  -1    1.188285E+01   2.925E+09   2.743E+10   2.164E+13   2.164E+13
     4    66  3  -1    1.002853E+01   1.215E+10
     5    66  3  -1    1.002772E+01   1.723E+09
     4    67  3  -1    1.004349E+01   7.894E+08   2.222E+10   3.705E+12   3.705E+12
     5    67  3  -1    1.004268E+01   1.094E+10
     1    68  3  -1    1.195587E+01   4.613E+10   6.000E+10   1.557E+14   1.557E+14
     4    68  3  -1    1.010156E+01   2.300E+08
     1    69  3  -1    1.200177E+01   9.111E+10   6.027E+10   1.300E+14   1.300E+14
     4    69  3  -1    1.014745E+01   1.510E+09
     5    69  3  -1    1.014664E+01   7.755E+06
     2    71  3  -1    1.123973E+01   4.930E+08   1.196E+09   8.017E+03   8.017E+03
     3    71  3  -1    1.123099E+01   5.538E+07
     3    72  3  -1    1.124214E+01   7.743E+08   1.492E+09   3.022E+06   3.022E+06
     3    77  3  -1    1.132968E+01   6.782E+09   7.817E+09   3.346E+09   3.346E+09
     3    78  3  -1    1.134131E+01   2.403E+07   8.457E+08   6.611E+07   6.611E+07
