SEQ='NA'     NUCCHG=17                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  97930480.6  NPRNT=   1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S2 2S2 2P6         (1)0( 0.0)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR=  98844272.0 NLVL=   190
   --------------------------
   INDX  IRSL   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     4    62  3  -1    1.525879E+01   1.838E+09
     5    62  3  -1    1.525623E+01   3.925E+09
     1    63  3  -1    1.792900E+01   8.868E+11   9.104E+11   1.443E+14   1.443E+14
     4    63  3  -1    1.527097E+01   5.924E+09
     5    64  3  -1    1.535883E+01   2.174E+10   3.176E+10   8.443E+12   8.443E+12
     4    65  3  -1    1.541512E+01   2.352E+10   4.673E+10   4.381E+12   4.381E+12
     5    65  3  -1    1.541256E+01   1.503E+10
     1    66  3  -1    1.815228E+01   4.535E+10   7.679E+10   4.181E+13   4.181E+13
     4    66  3  -1    1.549425E+01   2.889E+10
     5    66  3  -1    1.549169E+01   5.377E+09
     4    67  3  -1    1.553485E+01   2.733E+09   4.563E+10   4.152E+12   4.152E+12
     5    67  3  -1    1.553229E+01   2.772E+10
     1    68  3  -1    1.822254E+01   2.795E+11   3.008E+11   1.518E+14   1.518E+14
     4    68  3  -1    1.556452E+01   1.246E+09
     1    69  3  -1    1.831407E+01   4.627E+11   2.578E+11   1.137E+14   1.137E+14
     4    69  3  -1    1.565604E+01   7.830E+09
     2    71  3  -1    1.727473E+01   1.792E+09   2.478E+09   3.331E+09   3.331E+09
     3    71  3  -1    1.725476E+01   1.944E+08
     3    72  3  -1    1.727469E+01   2.740E+09   3.383E+09   6.355E+09   6.355E+09
     3    77  3  -1    1.739859E+01   1.524E+10   1.517E+10   1.371E+11   1.371E+11
     2    78  3  -1    1.743829E+01   3.856E+10   2.633E+10   1.241E+11   1.241E+11
